"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Late Pleistocene river deposits","gravel","Q4al_2af","Weathered; poorly sorted to moderately sorted gravel underlying loess-covered; commonly eroded aggradational surfaces","alluvial deposits","06_alluvium"
"Late Pleistocene river deposits","gravel","Q2al_2af","Poorly to moderately sorted gravel with minor sand or silt underlying terraces; includes minor fan gravel","alluvial deposits","06_alluvium"
"Basement (Hohonu Batholith) igneous rocks","granodiorite","Krttw","White-green medium-grained sphene-hornblende-biotite granodiorite","Rahu Suite diorite","18_crystalline"
"Neogene sedimentary rocks","conglomerate","Plk","Torlesse-derived fluvial conglomerates interbedded with shallow marine sandstone and mudstone","Kowai Formation","05_fluvialEstuarine"
"Early Cretaceous igneous rocks","syenite","Kim","Syenite and gabbro, with minor associated intrusive and volcanic rocks.","Mandamus Igneous Complex","18_crystalline"
"Paleogene sedimentary rocks","mudstone","Eea","Greenish-grey, sandy glauconitic mudstone; grades laterally north and west into shallow to mid-water sandstone","Eyre Group","15_undifSed"
"Basement (Hohonu Batholith) igneous rocks","granite","Dkgsu","Light medium-grained biotite-muscovite granodiorite","Karamea Suite granite","18_crystalline"
"Basement (Hohonu Batholith) igneous rocks","granite","Krgah","White medium-coarse-grained muscovite-biotite monzogranite with K-feldspar megacrysts","Rahu Suite granite","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","sandstone","Tt2a","Slightly foliated or cleaved; greywacke sandstone and argillitic mudstone; low-grade metatuff and metachert; TZ2A","Torlesse TZ2A semischist","18_crystalline"
"Neogene sedimentary rocks","siltstone","Mnk_","Calcareous, glauconitic siltstone, massive, blue-grey siltstone, and bedded, yellow-brown sandstone","undifferentiated Miocene","15_undifSed"
"Neogene sedimentary rocks","sandstone","Mnb_","Siltstone, sandstone and bioclastic limestone with interbedded debris flow conglomerate","undifferentiated Miocene","15_undifSed"
"Basement (Western Province) metamorphic rocks","mylonite","Sfm","Mylonitised gneiss; granitic rocks; and dikes","Fraser Complex","18_crystalline"
"Holocene glacier deposits","gravel","Q1t","Recent till"," ","14_moraineTill"
"Basement (Hohonu Batholith) igneous rocks","granite","Dkgmg","Light-medium grey medium-grained muscovite-biotite granite","Karamea Suite granite","18_crystalline"
"Late Pleistocene river deposits","gravel","Q3al_2al","Weathered; poorly sorted to moderately sorted gravel underlying loess-covered; commonly eroded aggradational surfaces","alluvial deposits","06_alluvium"
"Neogene sedimentary rocks","sandstone","lMPm","Muddy sandstone and carbonaceous sandstone with thin coal seams overlain by Torlesse-derived conglomerate and sandstone","Motunau Group","15_undifSed"
"Paleogene sedimentary rocks","limestone","Eza_","Pale, creamy, hard, siliceous, micritic limestone locally interbedded with siltstone, marl, sandstone, chert or greensand; local","undifferentiated Eocene","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","sandstone","lKEe_","Undifferentiated sandstone and siltstone, commonly glauconitic and slightly calcareous with conglomerate and pebbly sandstone.","undifferentiated Eyre Group","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","semischist","Ya2b","Semischistose sandstone and mudstone moderately-strongly transposed with well developed cleavage or foliation; locally folded","Aspiring lithological assoc.","18_crystalline"
"Neogene sedimentary rocks","siltstone","Mnk_","Calcareous, glauconitic siltstone, massive, blue-grey siltstone, and bedded, yellow-brown sandstone","Waikari Formation","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","serpentinite","Yau2b","Serpentinite and gabbro; metamorphosed with metasedimentary semischist","Pounamu Ultramafics","18_crystalline"
"Paleogene sedimentary rocks","limestone","PaEzaOnw","Undifferentiated limestone, calcareous siltstone.","undiff. Amuri Limestone/Weka Pas","15_undifSed"
"ice"," ","ice"," "," ","00_ICE"
"Late Pleistocene river deposits","gravel","Q2al","River gravel and sand"," ","06_alluvium"
"Basement (Eastern Province) metamorphic rocks","semischist","Tt2b","Planar-foliated; low-grade psammitic/pelitic semischist; minor low-grade metatuff and metachert; TZ2B","Torlesse TZ2B semischist","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","schist","Tt3","Prominently planar-foliated; psammitic/pelitic schist; TZ3","Torlesse TZ3 schist","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","semischist","Ya2b","Planar-foliated; low-grade psammitic/pelitic semischist; minor low-grade metatuff and metachert; TZ2B","Torlesse Aspiring TZ2B semisch","18_crystalline"
"Late Pleistocene river deposits","gravel","Q2af_4af","Poorly sorted steep fan gravel deposits","fan deposits","10_fan"
"Basement (Western Province) igneous rocks","granite","Dkg","Muscovite-biotite granite","Karamea Suite granite","18_crystalline"
"Paleogene igneous rocks","basalt","Eee","Thin basalt flows and glauconitic greensand","Eyre Group","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","schist","Ya3","Prominently planar-foliated; psammitic/pelitic schist; subordinate greenschist layers; TZ3","Torlesse Aspiring TZ3 schist","18_crystalline"
"Late Pleistocene - Holocene river deposits","gravel","Q2af-Q1af","Alluvial fan; scree; and colluvial deposits consisting of poorly sorted gravels","fan deposits","10_fan"
"Middle Pleistocene river deposits","gravel","Q8al_6al","River gravel and sand often with weathered clasts","alluvial deposits","06_alluvium"
"Late Pleistocene - Holocene river deposits","gravel","Q2af_1al","Poorly sorted steep fan gravel deposits","fan deposits","10_fan"
"Holocene river deposits","gravel","Q1a","Modern river floodplain/low-level degradation tce. Unweathered, variably sorted gravel/sand/silt/clay. Surfaces <2 degree slope","Young terrace/plain alluvium","13_floodGravel"
"Late Pleistocene river deposits","gravel","Q4al_2al","Weathered; poorly sorted to moderately sorted gravel underlying loess-covered; commonly eroded aggradational surfaces","alluvial deposits","06_alluvium"
"Basement (Eastern Province) metamorphic rocks","schist","Ya4","Prominently segregated schist; cm-scale quartz-albite segregations; abundant pelitic schist; greenschist/metachert common; TZ4","Torlesse Aspiring TZ4 schist","18_crystalline"
"Paleogene sedimentary rocks","mudstone","PEe","Glauconitic qtz sst(Hbush/Karetu) & calc, bentonitic, sandy mst(Ash) in upper part; greensand(Waip) & mica mst (Loburn) in lower","Early Tertiary marine sediments","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","sandstone","lKe","Marine, sandy siltstone & sandstone (Conway); non-marine quartzose sst; local congl, carb mst, & thin coal at base(Broken River)","Undiff Broken River/Conway fmns","15_undifSed"
"Paleogene sedimentary rocks","limestone","Olza_","Pale, creamy, hard, siliceous, micritic limestone locally interbedded with siltstone, marl, sandstone, chert or greensand; local","undifferentiated Oligocene","15_undifSed"
"Holocene river deposits","gravel","Q1a_af","Active flood plain. Unweathered; rounded-subangular; variably sorted loose gravel/sand/silt. Assoc with surfaces <2 deg. slope.","Alluvium in active river bed","06_alluvium"
"Paleogene sedimentary rocks","sandstone","EzaOlnw","Undifferentiated sedimentary and volcanic rocks","undifferentiated Paleocene-Eocen","15_undifSed"
"Middle Pleistocene - Late Pleistocene river deposits","gravel","Q6al_4al","River gravel and sand","alluvial deposits","06_alluvium"
"Pleistocene - Holocene shoreline deposits","sand","uQb","Undifferentiated marine sand and gravel often weathered"," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Plk","Brown-weathered greywacke-clast conglomerate w beds of sst, zst, mst, carbonaceous layers & shellbeds more common towards base","Kowai Formation","15_undifSed"
"Late Pleistocene glacier deposits","gravel","Q2t","Generally unweathered bouldery till; mixtures of gravel/sand/silt/clay; in well-defined valley or cirque moraines","Late Last Glacial till","14_moraineTill"
"Neogene sedimentary rocks","siltstone","Pln","Blue-grey fine sandy siltstone; mudstone; & minor debris-flow conglomerate","Greta Formation","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","siltstone","lKPe","Marine, dark grey, massive, jarositic, concretionary sandy siltstone & sandstone, locally contains KT boundary at very top","Conway Formation","15_undifSed"
"Basement (Rangitoto Batholith) igneous rocks","granite","Dkg","Muscovite-biotite granite","Karamea Suite granite","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Ktp","Indurated sandstone & mudstone with minor basaltic volcanics, chert, & dolomitic limestone","Pahau greywacke","15_undifSed"
"Late Pleistocene - Holocene river deposits","gravel","lQf","Grey to brown, variable weathered, silty subangular gravel & sand forming alluvial fans(slope 1-20deg); some gully dissection","Young-medium age alluvial fan","10_fan"
"Neogene sedimentary rocks","sandstone","Mn","Blue-grey calcareous, sandy zst; brown, calcareous sst, locally with limestone beds; grey calcareous glauconitic sandy zst","Miocene sediments","15_undifSed"
"Cretaceous sedimentary rocks","sandstone","eKpo+Kpc","Fluvial conglomerate and sandstone (locally hematitic) with coal seams and locally thick lacustrine mudstone","Pororari Group & Paparoa Coal M.","05_fluvialEstuarine"
"Late Pleistocene river deposits","gravel","Q2aob","Generally unweathered, brownish-grey, variable mix of gravel/sand/silt/clay outwash deposited during early-mid LGM","Early-mid LGM outwash","12_outwash"
"Late Pleistocene shoreline deposits","sand","Q5b","Slightly weathered sand and gravel beneath coastal terraces up to 120 m above sea level","Raised marine terrace","16_terrace"
"Holocene shoreline deposits","gravel","Q1b","Unweathered well sorted gravel and sand with minor silt in modern or abandoned beach complexes","Young beach deposit","09_beachBarDune"
"Paleogene - Neogene sedimentary rocks","limestone","On+mMbs","Limestone; predominantly shallow-water bioclastic varieties; and grey calcareous mudstone","Nile Group & Stillwater Mudstone","15_undifSed"
"Late Pleistocene - Holocene river deposits","gravel","lQa","Grey to grey brown, slightly weathered; mixtures of gravel/sand/silt/clay river alluvium of Late Quaternary age","Young-medium age alluvium","06_alluvium"
"Basement (Rangitoto Batholith) igneous rocks","granite","Dkg_r","Grey equigranular or slightly porphyritic biotite granite; undeformed; locally hydrothermally altered with qtz or CaCO3 veins","Rangitoto granite","18_crystalline"
"Holocene river deposits","gravel","Q1f","Generally unweathered; variable mixtures of gravel/sand/silt forming alluvial fans (surface slope 1 to 20 deg)","Young or active alluvial fan","10_fan"
"Holocene hill slope deposits","gravel","Q1s","Variable gravelly scree or colluvium deposits on >20 deg slopes; may merge with alluvial fans; may include minor glacial tills","Young or active slope deposit","14_moraineTill"
"Late Pleistocene river deposits","gravel","Q2a_la","Generally unweathered; variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains","Late Last Glacial outwash","12_outwash"
"ice"," ","ice","glaciers; snowfields"," ","00_ICE"
"Paleogene - Neogene sedimentary rocks","limestone","Onl","Hard, glaucontic, sandy limestone. Mainly comprises Weka Pass Stone member","Weka Pass Stone","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","mudstone","PEe","Calcareous, bentonitic, sandy mst (Ashley Mst) in upper part; greensand (Waipara GS) and micaeous mst (Loburn Mst) in lower part","Early Tertiary marine sediments","15_undifSed"
"Late Pleistocene glacier deposits","gravel","Q2t_la","Generally unweathered bouldery till; mixtures of gravel/sand/silt/clay; in well-defined valley moraines","Late Last Glacial till","14_moraineTill"
"Basement (Eastern Province) metamorphic rocks","mylonite","YTm","Schist-derived mylonite; curly schist; cataclasite; & fault breccia near the Alpine Fault; some greenschist/chert/pegmatite; TZ4","Torlesse Aspiring mylonite","18_crystalline"
"Late Pleistocene river deposits","gravel","Q2f","Generally unweathered, silty subangular gravel & sand forming alluvial fans (surface slope 1-20deg); minor gully dissection","Late Last Glacial alluvial fan","10_fan"
"Middle Pleistocene glacier deposits","gravel","mQt_we","Slightly weathered bouldery till; variable mixtures of gravel/sand/silt/clay in mid-level moraines","Medium-age till","14_moraineTill"
"Late Pleistocene river deposits","gravel","Q2a","Generally unweathered; variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains","Late Last Glacial alluvium","06_alluvium"
"Holocene glacier deposits","gravel","Q1t","Unweathered bouldery till; mixtures of gravel/sand/silt/clay; in sharply defined moraines or rock glaciers; merges with scree","Young (Holocene) till","14_moraineTill"
"Basement (Eastern Province) sedimentary rocks","sandstone","Tt1_n","Hard; massive greywacke sandstone with concretions+conglomerate+mudstone clasts; minor thin-bedded sandstone/siltstone; TZ1","Torlesse TZ1 massive sandst","15_undifSed"
"Holocene river deposits","gravel","Q1a","Generally unweathered; variable mixtures of gravel/sand/silt/clay forming low-level terraces or abandoned river plains","Young terrace/plain alluvium","16_terrace"
"Late Pleistocene glacier deposits","till","Q2tp","Generally unweathered, grey, bouldery till; mix of gravel/sand/silt/clay; in well-defined valley moraines","Late LGM till","14_moraineTill"
"Late Pleistocene glacier deposits","gravel","Q2t_mn","Generally unweathered bouldery till; mixtures of gravel/sand/silt/clay; in well-defined valley moraines","Late Last Glacial till","14_moraineTill"
